Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
6,144600,144587,144587,144593,143702
7,144810,144808,144809,144817,143923
8,145010,145030,145031,145040,144143
9,145210,145252,145253,145263,144364
10,145460,145474,145475,145486,144585
11,145700,145696,145696,145709,144806
12,145960,145917,145918,145932,145026
1,146400,146365,146356,146336,145468
2,146610,146586,146578,146559,145689
3,146840,146806,146800,146782,145910
4,147050,147027,147021,147005,146130
5,147220,147248,147243,147228,146351
6,147450,147469,147465,147452,146572
7,147660,147690,147686,147675,146793
8,147880,147911,147908,147898,147014
9,148060,148131,148130,148121,147234
10,148290,148352,148352,148344,147455
11,148510,148573,148573,148567,147676
12,148800,148794,148795,148791,147897
1,149050,149015,149017,149014,148118
2,149260,149236,149238,149237,148338
3,149480,149457,149460,149460,148559
4,149700,149677,149682,149683,148780
5,149880,149898,149904,149906,149001
6,150110,150119,150125,150129,149222
7,150370,150340,150347,150353,149442
8,150550,150561,150569,150576,149663
9,150780,150782,150790,150799,149884
10,151010,151002,151012,151022,150105
11,151210,151223,151234,151245,150325
12,151480,151444,151456,151468,150546
1,151940,151900,151901,151881,150988
2,152140,152122,152123,152105,151209
3,152340,152344,152345,152328,151429
4,152560,152566,152567,152552,151650
5,152780,152788,152788,152776,151871
6,153020,153010,153010,152999,152092
7,153230,153232,153232,153223,152313
8,153430,153454,153454,153447,152533
9,153650,153676,153675,153670,152754
10,153860,153898,153897,153894,152975
11,154110,154120,154119,154117,153196
12,154340,154342,154341,154341,153417
1,154590,154564,154563,154565,153637
2,154790,154786,154784,154788,153858
3,155000,155008,155006,155012,154079
4,155210,155230,155228,155236,154300
5,155450,155452,155450,155459,154520
6,155660,155674,155672,155683,154741
7,155910,155896,155893,155906,154962
8,156090,156118,156115,156130,155183
9,156360,156340,156337,156354,155404
10,156590,156562,156559,156577,155624
11,156800,156783,156781,156801,155845
12,157020,157005,157002,157025,156066
1,157490,157459,157454,157441,156508
2,157710,157681,157676,157664,156728
3,157900,157903,157898,157888,156949
4,158110,158125,158120,158112,157170
5,158310,158347,158342,158335,157391
6,158550,158569,158564,158559,157612
7,158790,158791,158786,158782,157832
8,158990,159013,159008,159006,158053
9,159280,159235,159230,159230,158274
10,159470,159457,159452,159453,158495
11,159660,159679,159674,159677,158715
12,159880,159901,159896,159900,158936
1,160120,160124,160118,160124,159157
2,160350,160346,160340,160347,159378
3,160560,160568,160562,160571,159599
4,160760,160790,160784,160795,159819
5,160990,161012,161006,161018,160040
6,161230,161234,161228,161242,160261
7,161490,161456,161450,161465,160482
8,161680,161678,161672,161689,160703
9,161920,161900,161894,161913,160923
10,162140,162122,162116,162136,161144
11,162330,162344,162338,162360,161365
12,162580,162567,162560,162583,161586
1,163030,163013,163006,162985,162027
2,163240,163235,163228,163209,162248
3,163470,163456,163450,163433,162469
4,163670,163678,163672,163657,162690
5,163870,163900,163894,163881,162911
6,164090,164122,164117,164105,163131
7,164340,164344,164339,164329,163352
8,164560,164565,164561,164553,163573
9,164800,164787,164783,164777,163794
10,165000,165009,165005,165001,164014
11,165200,165231,165227,165225,164235
12,165440,165453,165449,165449,164456
1,165690,165674,165671,165673,164677
2,165910,165896,165893,165897,164898
3,166100,166118,166115,166121,165118
4,166330,166340,166337,166345,165339
5,166560,166562,166559,166569,165560
6,166750,166783,166782,166793,165781
7,167010,167005,167004,167017,166002
8,167240,167227,167226,167241,166222
9,167420,167449,167448,167465,166443
10,167690,167671,167670,167689,166664
11,167890,167893,167892,167913,166885
12,168170,168114,168114,168137,167106
1,168610,168574,168572,168556,167547
2,168830,168797,168795,168781,167768
3,169070,169020,169017,169005,167989
4,169260,169243,169240,169230,168209
5,169460,169466,169462,169455,168430
6,169690,169689,169685,169680,168651
7,169900,169912,169907,169904,168872
8,170120,170135,170130,170129,169093
9,170320,170358,170352,170354,169313
10,170530,170581,170575,170579,169534
11,170750,170805,170797,170804,169755
12,171030,171028,171020,171028,169976
1,171270,171251,171242,171253,170197
2,171470,171474,171465,171478,170417
3,171710,171697,171687,171703,170638
4,171910,171920,171910,171928,170859
5,172150,172143,172132,172152,171080
6,172350,172366,172355,172377,171301
7,172620,172589,172577,172602,171521
8,172810,172812,172800,172827,171742
9,173020,173035,173022,173052,171963
10,173250,173258,173245,173276,172184
11,173480,173481,173467,173501,172404
12,173770,173704,173690,173726,172625
2,174210,174165,174152,174152,173067
1,174400,174388,174375,174376,173288
4,174630,174611,174598,174600,173508
3,174850,174833,174821,174824,173729
6,175050,175056,175044,175048,173950
5,175270,175279,175267,175273,174171
8,175490,175502,175490,175497,174392
7,175760,175724,175713,175721,174612
10,175920,175947,175936,175945,174833
9,176180,176170,176159,176169,175054
12,176360,176393,176382,176393,175275
11,176590,176615,176605,176617,175496
1,176860,176838,176828,176841,175716
2,177090,177061,177051,177065,175937
4,177310,177284,177274,177289,176158
6,177540,177506,177497,177513,176379
3,177710,177729,177720,177738,176600
8,177920,177952,177943,177962,176820
5,178140,178175,178166,178186,177041
10,178340,178397,178389,178410,177262
7,178620,178620,178611,178634,177483
12,178850,178843,178834,178858,177703
9,179090,179066,179057,179082,177924
11,179320,179288,179280,179306,178145
2,179770,179734,179718,179704,178587
1,179960,179955,179941,179928,178807
6,180180,180176,180163,180151,179028
4,180420,180397,180386,180375,179249
8,180600,180618,180609,180598,179470
3,180830,180839,180831,180822,179691
10,181010,181060,181054,181045,179911
5,181250,181282,181277,181268,180132
12,181500,181503,181499,181492,180353
7,181680,181724,181722,181715,180574
11,181930,181945,181945,181939,180795
9,182150,182166,182167,182162,181015
2,182390,182387,182390,182386,181236
6,182630,182608,182613,182609,181457
1,182850,182829,182836,182833,181678
4,183050,183050,183058,183056,181898
3,183330,183271,183281,183280,182119
8,183500,183492,183504,183503,182340
5,183690,183714,183726,183727,182561
10,183860,183935,183949,183950,182782
7,184180,184156,184172,184174,183002
12,184370,184377,184394,184397,183223
9,184590,184598,184617,184621,183444
11,184860,184819,184840,184844,183665
6,185320,185272,185278,185260,184106
2,185510,185494,185501,185484,184327
4,185740,185717,185723,185707,184548
1,185950,185940,185946,185931,184769
8,186150,186163,186168,186155,184990
3,186360,186385,186391,186378,185210
10,186540,186608,186614,186602,185431
5,186770,186831,186836,186826,185652
12,187040,187054,187059,187049,185873
7,187250,187276,187281,187273,186093
11,187480,187499,187504,187497,186314
9,187700,187722,187726,187720,186535
6,187970,187945,187949,187944,186756
2,188170,188167,188171,188168,186977
1,188420,188390,188394,188391,187197
4,188620,188613,188616,188615,187418
8,188850,188836,188839,188839,187639
10,189020,189058,189061,189062,187860
3,189300,189281,189284,189286,188081
12,189500,189504,189506,189509,188301
5,189740,189727,189729,189733,188522
11,189960,189949,189951,189957,188743
7,190200,190172,190174,190180,188964
9,190410,190395,190396,190404,189185
2,190820,190835,190834,190814,189626
6,191050,191057,191056,191038,189847
4,191250,191279,191279,191261,190068
1,191490,191501,191501,191485,190289
10,191700,191723,191723,191708,190509
8,191960,191946,191946,191932,190730
12,192170,192168,192168,192156,190951
3,192390,192390,192390,192379,191172
11,192610,192612,192613,192603,191392
5,192870,192834,192835,192826,191613
9,193010,193056,193057,193050,191834
7,193280,193278,193280,193274,192055
6,193530,193500,193502,193497,192276
2,193740,193722,193724,193721,192496
4,193900,193944,193947,193944,192717
10,194170,194166,194169,194168,192938
1,194380,194388,194391,194392,193159
8,194550,194610,194614,194615,193380
3,194840,194832,194836,194839,193600
12,195050,195054,195058,195062,193821
5,195290,195276,195281,195286,194042
11,195480,195498,195503,195510,194263
7,195750,195720,195725,195733,194484
9,195970,195942,195948,195957,194704
2,196430,196388,196389,196368,195146
6,196620,196610,196611,196592,195367
10,196820,196832,196833,196815,195587
4,197040,197054,197055,197039,195808
8,197250,197276,197277,197263,196029
1,197480,197499,197500,197487,196250
12,197740,197721,197722,197710,196471
3,197910,197943,197944,197934,196691
11,198150,198165,198166,198158,196912
5,198380,198387,198389,198382,197133
9,198580,198609,198611,198606,197354
7,198880,198832,198833,198829,197575
2,199040,199054,199055,199053,197795
10,199250,199276,199278,199277,198016
6,199520,199498,199500,199501,198237
4,199740,199720,199722,199724,198458
1,199970,199943,199944,199948,198679
8,200100,200165,200167,200172,198899
12,200320,200387,200389,200396,199120
11,200680,200609,200611,200620,199341
3,200810,200831,200833,200843,199562
9,201040,201053,201055,201067,199782
5,201280,201276,201278,201291,200003
7,201560,201498,201500,201515,200224
10,201950,201942,201946,201932,200666
2,202190,202165,202168,202155,200886
4,202360,202388,202391,202379,201107
6,202630,202611,202613,202602,201328
8,202820,202834,202835,202826,201549
1,203040,203056,203058,203050,201770
11,203210,203279,203280,203273,201990
12,203480,203502,203502,203497,202211
9,203740,203725,203725,203720,202432
3,203980,203948,203947,203944,202653
7,204210,204170,204169,204168,202874
5,204410,204393,204391,204391,203094
2,204570,204616,204614,204615,203315
10,204810,204839,204836,204838,203536
6,205080,205062,205058,205062,203757
4,205270,205284,205281,205285,203978
8,205480,205507,205503,205509,204198
11,205740,205730,205725,205733,204419
1,205960,205953,205948,205956,204640
12,206120,206176,206170,206180,204861
3,206420,206398,206392,206403,205081
9,206630,206621,206615,206627,205302
5,206870,206844,206837,206851,205523
7,207100,207067,207059,207074,205744
10,207510,207502,207499,207490,206185
2,207720,207724,207721,207713,206406
4,207930,207946,207943,207936,206627
6,208160,208167,208165,208158,206848
11,208380,208389,208387,208381,207069
8,208590,208611,208609,208603,207289
12,208830,208833,208832,208826,207510
1,209040,209055,209054,209048,207731
9,209260,209277,209276,209271,207952
3,209520,209498,209498,209493,208173
7,209710,209720,209720,209716,208393
5,209920,209942,209942,209938,208614
10,210150,210164,210165,210161,208835
4,210390,210386,210387,210383,209056
2,210600,210607,210609,210606,209276
11,210860,210829,210831,210828,209497
6,211060,211051,211053,211051,209718
8,211250,211273,211276,211274,209939
1,211470,211495,211498,211496,210160
12,211700,211716,211720,211719,210380
9,211980,211938,211942,211941,210601
7,212160,212160,212164,212164,210822
3,212360,212382,212386,212386,211043
5,212640,212604,212609,212609,211264
4,213010,213029,213029,213008,211705
10,213210,213250,213250,213229,211926
11,213470,213470,213472,213451,212147
2,213700,213691,213693,213673,212368
8,213880,213911,213915,213895,212588
6,214100,214131,214136,214117,212809
12,214370,214352,214358,214339,213030
1,214570,214572,214579,214560,213251
7,214800,214793,214800,214782,213471
9,215040,215013,215022,215004,213692
5,215230,215233,215243,215226,213913
3,215400,215454,215465,215448,214134
10,215660,215674,215686,215670,214355
4,215900,215895,215908,215892,214575
2,216150,216115,216129,216113,214796
11,216280,216335,216351,216335,215017
6,216520,216556,216572,216557,215238
8,216740,216776,216794,216779,215459
12,216990,216997,217015,217001,215679
7,217260,217217,217237,217223,215900
1,217440,217438,217458,217444,216121
9,217680,217658,217680,217666,216342
3,217880,217878,217901,217888,216563
5,218130,218099,218123,218110,216783
4,218500,218529,218545,218518,217225
10,218700,218751,218766,218740,217446
11,219010,218972,218987,218962,217667
2,219210,219193,219208,219184,217887
8,219410,219415,219429,219406,218108
6,219630,219636,219650,219628,218329
7,219830,219857,219871,219850,218550
12,220050,220079,220092,220072,218770
9,220280,220300,220313,220294,218991
1,220530,220521,220534,220516,219212
5,220700,220743,220755,220738,219433
3,220920,220964,220976,220960,219654
4,221220,221185,221197,221182,219874
11,221410,221407,221418,221404,220095
10,221620,221628,221639,221626,220316
8,221860,221849,221860,221848,220537
2,222080,222071,222081,222070,220758
7,222330,222292,222302,222292,220978
6,222510,222513,222523,222514,221199
12,222680,222735,222744,222736,221420
1,222990,222956,222965,222958,221641
9,223190,223177,223186,223180,221862
3,223380,223399,223406,223402,222082
5,223660,223620,223627,223624,222303
11,224030,224047,224059,224029,222745
4,224260,224268,224280,224252,222965
8,224490,224489,224501,224474,223186
10,224690,224711,224721,224697,223407
7,224930,224932,224942,224920,223628
2,225150,225154,225163,225142,223849
12,225390,225375,225384,225365,224069
6,225610,225596,225604,225587,224290
9,225830,225818,225825,225810,224511
1,226040,226039,226046,226033,224732
5,226240,226261,226267,226255,224953
3,226390,226482,226487,226478,225173
4,226730,226703,226708,226700,225394
11,226830,226925,226929,226923,225615
10,227110,227146,227149,227146,225836
8,227380,227368,227370,227368,226057
2,227600,227589,227591,227591,226277
7,227830,227810,227812,227814,226498
6,228060,228032,228032,228036,226719
12,228260,228253,228253,228259,226940
9,228530,228475,228474,228481,227160
5,228700,228696,228695,228704,227381
1,228940,228917,228915,228927,227602
3,229120,229139,229136,229149,227823
11,229630,229577,229585,229568,228264
4,229830,229799,229806,229791,228485
8,230040,230021,230027,230013,228706
10,230190,230243,230248,230236,228927
7,230440,230465,230469,230459,229148
2,230660,230687,230690,230682,229368
12,230920,230909,230911,230905,229589
6,231110,231131,231132,231128,229810
5,231320,231353,231353,231351,230031
9,231610,231575,231574,231574,230252
3,231810,231797,231795,231797,230472
1,232020,232019,232016,232019,230693
11,232270,232241,232237,232242,230914
8,232450,232463,232458,232465,231135
4,232640,232685,232679,232688,231356
7,232970,232907,232900,232911,231576
10,233120,233129,233121,233134,231797
12,233360,233351,233342,233357,232018
2,233550,233573,233563,233580,232239
5,233740,233795,233784,233802,232459
6,233990,234017,234005,234025,232680
9,234250,234240,234226,234248,232901
1,234480,234462,234447,234471,233122
3,234740,234684,234668,234694,233343
8,235080,235110,235116,235100,233784
11,235300,235332,235337,235323,234005
7,235560,235554,235558,235545,234226
4,235770,235777,235779,235768,234447
12,235970,235999,236001,235991,234667
10,236230,236221,236222,236214,234888
5,236470,236443,236443,236437,235109
2,236680,236665,236664,236660,235330
9,236910,236888,236885,236883,235551
6,237130,237110,237107,237105,235771
3,237320,237332,237328,237328,235992
1,237550,237554,237549,237551,236213
11,237740,237776,237770,237774,236434
8,237980,237999,237992,237997,236654
4,238200,238221,238213,238220,236875
7,238440,238443,238434,238442,237096
10,238660,238665,238655,238665,237317
12,238880,238888,238876,238888,237538
2,239100,239110,239098,239111,237758
5,239290,239332,239319,239334,237979
6,239550,239554,239540,239557,238200
9,239800,239776,239761,239780,238421
3,240030,239999,239983,240002,238642
1,240260,240221,240204,240225,238862
8,240610,240645,240652,240635,239304
11,240850,240868,240874,240858,239525
7,241080,241090,241095,241082,239746
4,241290,241313,241317,241305,239966
12,241520,241535,241538,241528,240187
10,241780,241758,241760,241751,240408
5,241960,241981,241981,241974,240629
2,242220,242203,242203,242198,240849
9,242440,242426,242424,242421,241070
6,242640,242649,242646,242644,241291
1,242890,242871,242867,242867,241512
3,243060,243094,243089,243090,241733
8,243310,243316,243310,243314,241953
7,243560,243539,243532,243537,242174
11,243740,243762,243753,243760,242395
12,243980,243984,243974,243983,242616
4,244220,244207,244196,244207,242837
5,244410,244429,244417,244430,243057
10,244670,244652,244639,244653,243278
9,244900,244875,244860,244876,243499
2,245110,245097,245082,245099,243720
6,245290,245320,245303,245323,243941
3,245540,245543,245525,245546,244161
1,245780,245765,245746,245769,244382
7,246200,246196,246197,246185,244824
8,246440,246418,246419,246409,245045
12,246650,246640,246640,246632,245265
11,246880,246863,246862,246855,245486
5,247070,247085,247084,247078,245707
4,247320,247307,247305,247301,245928
9,247540,247529,247527,247524,246148
10,247770,247752,247749,247748,246369
6,248000,247974,247971,247971,246590
2,248170,248196,248192,248194,246811
1,248380,248418,248414,248417,247032
3,248580,248640,248636,248640,247252
8,248850,248863,248857,248863,247473
7,249100,249085,249079,249086,247694
11,249300,249307,249301,249310,247915
12,249500,249529,249522,249533,248136
4,249770,249752,249744,249756,248356
5,249970,249974,249966,249979,248577
10,250180,250196,250188,250202,248798
9,250400,250418,250409,250425,249019
6,250680,250640,250631,250648,249240
1,250890,250863,250853,250872,249460
2,251080,251085,251074,251095,249681
3,251320,251307,251296,251318,249902
7,251740,251729,251740,251730,250343
8,251970,251952,251961,251952,250564
12,252180,252174,252183,252175,250785
11,252350,252397,252405,252397,251006
5,252570,252620,252627,252620,251227
4,252870,252843,252848,252842,251447
9,253020,253066,253070,253065,251668
10,253290,253289,253292,253287,251889
1,253510,253511,253514,253510,252110
6,253750,253734,253736,253732,252331
3,253940,253957,253957,253955,252551
2,254190,254180,254179,254177,252772
7,254390,254403,254401,254400,252993
12,254620,254626,254623,254622,253214
8,254830,254849,254844,254845,253435
5,255040,255071,255066,255067,253655
11,255260,255294,255288,255290,253876
9,255520,255517,255510,255512,254097
4,255720,255740,255731,255735,254318
10,255980,255963,255953,255957,254538
6,256210,256186,256175,256180,254759
1,256440,256409,256397,256402,254980
2,256660,256631,256619,256625,255201
3,256870,256854,256840,256847,255422
12,257260,257268,257270,257251,255863
7,257450,257489,257491,257473,256084
5,257670,257710,257712,257695,256305
8,257920,257931,257934,257917,256526
9,258170,258152,258155,258140,256746
11,258370,258373,258377,258362,256967
10,258590,258594,258598,258584,257188
4,258820,258815,258819,258806,257409
1,259070,259036,259041,259028,257630
6,259290,259257,259262,259250,257850
3,259490,259478,259483,259472,258071
2,259730,259699,259705,259694,258292
7,259900,259920,259926,259916,258513
12,260110,260141,260148,260139,258734
8,260300,260362,260369,260361,258954
5,260520,260583,260590,260583,259175
11,260800,260804,260812,260805,259396
9,261060,261025,261033,261027,259617
10,261220,261245,261254,261249,259837
1,261490,261466,261476,261471,260058
4,261700,261687,261697,261693,260279
6,261900,261908,261919,261916,260500
2,262110,262129,262140,262138,260721
3,262390,262350,262361,262360,260941
12,262780,262766,262792,262769,261383
7,262940,262989,263013,262991,261604
5,263170,263211,263234,263213,261825
8,263420,263434,263455,263436,262045
9,263660,263657,263676,263658,262266
11,263910,263880,263897,263880,262487
1,264080,264102,264118,264102,262708
10,264310,264325,264339,264324,262929
6,264540,264548,264561,264546,263149
4,264780,264770,264782,264768,263370
3,264990,264993,265003,264990,263591
2,265200,265216,265224,265212,263812
12,265410,265439,265445,265434,264032
5,265620,265661,265666,265656,264253
7,265850,265884,265887,265879,264474
9,266100,266107,266108,266101,264695
8,266350,266329,266330,266323,264916
11,266560,266552,266551,266545,265136
10,266810,266775,266772,266767,265357
1,267010,266998,266993,266989,265578
6,267220,267220,267214,267211,265799
3,267460,267443,267435,267433,266020
4,267690,267666,267656,267655,266240
2,267900,267888,267877,267877,266461
5,268230,268292,268309,268283,266903
12,268490,268514,268529,268505,267124
9,268700,268736,268750,268727,267344
7,268980,268958,268971,268950,267565
11,269200,269180,269192,269172,267786
8,269390,269402,269413,269394,268007
1,269620,269624,269634,269617,268227
10,269820,269846,269855,269839,268448
3,270050,270068,270076,270061,268669
6,270290,270290,270297,270283,268890
2,270490,270512,270518,270506,269111
4,270730,270734,270738,270728,269331
12,270940,270956,270959,270950,269552
5,271190,271178,271180,271173,269773
7,271440,271400,271401,271395,269994
9,271610,271622,271622,271617,270215
11,271840,271844,271843,271840,270435
1,272040,272066,272064,272062,270656
8,272270,272288,272285,272284,270877
10,272530,272510,272506,272506,271098
6,272760,272732,272727,272729,271319
3,272940,272954,272947,272951,271539
4,273190,273176,273168,273173,271760
2,273400,273398,273389,273396,271981
5,273820,273812,273829,273808,272423
12,274030,274034,274050,274031,272643
9,274200,274257,274271,274253,272864
7,274470,274479,274492,274476,273085
1,274700,274701,274713,274698,273306
11,274950,274924,274934,274921,273526
10,275140,275146,275155,275143,273747
8,275410,275368,275376,275366,273968
3,275580,275591,275597,275589,274189
6,275800,275813,275818,275811,274410
2,276020,276035,276039,276034,274630
4,276230,276258,276260,276256,274851
5,276470,276480,276481,276479,275072
9,276740,276702,276701,276701,275293
12,276900,276925,276922,276924,275514
7,277140,277147,277143,277146,275734
11,277380,277369,277364,277369,275955
1,277590,277592,277585,277592,276176
10,277850,277814,277806,277814,276397
3,278060,278036,278027,278037,276618
8,278270,278259,278248,278259,276838
2,278450,278481,278469,278482,277059
6,278670,278703,278690,278704,277280
4,278950,278926,278911,278927,277501
9,279360,279340,279354,279340,277942
5,279570,279562,279575,279563,278163
7,279840,279785,279796,279785,278384
12,280020,280007,280017,280007,278605
1,280220,280229,280238,280229,278825
11,280410,280452,280460,280452,279046
3,280690,280674,280681,280674,279267
10,280900,280897,280902,280896,279488
2,281080,281119,281123,281118,279709
8,281310,281341,281344,281341,279929
4,281550,281564,281565,281563,280150
6,281770,281786,281786,281785,280371
5,281980,282008,282007,282007,280592
9,282200,282231,282228,282230,280813
7,282480,282453,282449,282452,281033
1,282650,282675,282670,282674,281254
12,282890,282898,282891,282896,281475
11,283110,283120,283112,283119,281696
10,283380,283342,283333,283341,281916
3,283560,283565,283554,283563,282137
8,283790,283787,283775,283785,282358
2,283980,284010,283996,284008,282579
6,284240,284232,284217,284230,282800
4,284530,284454,284438,284452,283020
9,284840,284859,284874,284858,283462
5,285030,285081,285095,285079,283683
1,285310,285303,285316,285301,283904
7,285510,285525,285537,285523,284124
11,285770,285747,285758,285745,284345
12,285970,285969,285979,285967,284566
3,286180,286191,286200,286189,284787
10,286400,286413,286421,286411,285008
2,286660,286635,286642,286633,285228
8,286840,286857,286863,286854,285449
4,287090,287080,287083,287076,285670
6,287280,287302,287304,287298,285891
9,287540,287524,287525,287520,286112
5,287730,287746,287746,287742,286332
7,288010,287968,287967,287964,286553
1,288180,288190,288188,288186,286774
11,288340,288412,288409,288408,286995
3,288640,288634,288630,288630,287215
12,288860,288856,288851,288851,287436
2,289000,289078,289072,289073,287657
10,289300,289300,289293,289295,287878
4,289580,289522,289514,289517,288099
8,289760,289744,289735,289739,288319
6,290000,289967,289956,289961,288540
